service_id,date,exception_type
FESVER01_010101,20210805,1
FESVER01_010102,20210805,1
FESVER01_010101,20210808,1
FESVER01_010102,20210808,1
FESVER01_010101,20210815,1
FESVER01_010102,20210815,1
FESVER01_010101,20210822,1
FESVER01_010102,20210822,1
FESVER01_010101,20210829,1
FESVER01_010102,20210829,1
FESVER03_010301,20210801,1
FESVER03_010302,20210801,1
FESVER03_010301,20210805,1
FESVER03_010302,20210805,1
FESVER03_010301,20210808,1
FESVER03_010302,20210808,1
FESVER03_010301,20210815,1
FESVER03_010302,20210815,1
FESVER03_010301,20210822,1
FESVER03_010302,20210822,1
FESVER03_010301,20210829,1
FESVER03_010302,20210829,1
FESVER04_010401,20210801,1
FESVER04_010402,20210801,1
FESVER04_010403,20210801,1
FESVER04_010404,20210801,1
FESVER04_010401,20210805,1
FESVER04_010402,20210805,1
FESVER04_010403,20210805,1
FESVER04_010404,20210805,1
FESVER04_010401,20210808,1
FESVER04_010402,20210808,1
FESVER04_010403,20210808,1
FESVER04_010404,20210808,1
FESVER04_010401,20210815,1
FESVER04_010402,20210815,1
FESVER04_010403,20210815,1
FESVER04_010404,20210815,1
FESVER04_010401,20210822,1
FESVER04_010402,20210822,1
FESVER04_010403,20210822,1
FESVER04_010404,20210822,1
FESVER04_010401,20210829,1
FESVER04_010402,20210829,1
FESVER04_010403,20210829,1
FESVER04_010404,20210829,1
FESVER05_010501,20210801,1
FESVER05_010502,20210801,1
FESVER05_010503,20210801,1
FESVER05_010504,20210801,1
FESVER05_010501,20210805,1
FESVER05_010502,20210805,1
FESVER05_010503,20210805,1
FESVER05_010504,20210805,1
FESVER05_010501,20210808,1
FESVER05_010502,20210808,1
FESVER05_010503,20210808,1
FESVER05_010504,20210808,1
FESVER05_010501,20210815,1
FESVER05_010502,20210815,1
FESVER05_010503,20210815,1
FESVER05_010504,20210815,1
FESVER05_010501,20210822,1
FESVER05_010502,20210822,1
FESVER05_010503,20210822,1
FESVER05_010504,20210822,1
FESVER05_010501,20210829,1
FESVER05_010502,20210829,1
FESVER05_010503,20210829,1
FESVER05_010504,20210829,1
FESVER06_010601,20210801,1
FESVER06_010602,20210801,1
FESVER06_010603,20210801,1
FESVER06_010604,20210801,1
FESVER06_010601,20210805,1
FESVER06_010602,20210805,1
FESVER06_010603,20210805,1
FESVER06_010604,20210805,1
FESVER06_010601,20210808,1
FESVER06_010602,20210808,1
FESVER06_010603,20210808,1
FESVER06_010604,20210808,1
FESVER06_010601,20210815,1
FESVER06_010602,20210815,1
FESVER06_010603,20210815,1
FESVER06_010604,20210815,1
FESVER06_010601,20210822,1
FESVER06_010602,20210822,1
FESVER06_010603,20210822,1
FESVER06_010604,20210822,1
FESVER06_010601,20210829,1
FESVER06_010602,20210829,1
FESVER06_010603,20210829,1
FESVER06_010604,20210829,1
FESVER07_010701,20210801,1
FESVER07_010702,20210801,1
FESVER07_010703,20210801,1
FESVER07_010704,20210801,1
FESVER07_010701,20210805,1
FESVER07_010702,20210805,1
FESVER07_010703,20210805,1
FESVER07_010704,20210805,1
FESVER07_010701,20210808,1
FESVER07_010702,20210808,1
FESVER07_010703,20210808,1
FESVER07_010704,20210808,1
FESVER07_010701,20210815,1
FESVER07_010702,20210815,1
FESVER07_010703,20210815,1
FESVER07_010704,20210815,1
FESVER07_010701,20210822,1
FESVER07_010702,20210822,1
FESVER07_010703,20210822,1
FESVER07_010704,20210822,1
FESVER07_010701,20210829,1
FESVER07_010702,20210829,1
FESVER07_010703,20210829,1
FESVER07_010704,20210829,1
FESVER08_010801,20210801,1
FESVER08_010802,20210801,1
FESVER08_010801,20210805,1
FESVER08_010802,20210805,1
FESVER08_010801,20210808,1
FESVER08_010802,20210808,1
FESVER08_010801,20210815,1
FESVER08_010802,20210815,1
FESVER08_010801,20210822,1
FESVER08_010802,20210822,1
FESVER08_010801,20210829,1
FESVER08_010802,20210829,1
FESVER09_010903,20210801,1
FESVER09_010904,20210801,1
FESVER09_010903,20210805,1
FESVER09_010904,20210805,1
FESVER09_010903,20210808,1
FESVER09_010904,20210808,1
FESVER09_010903,20210815,1
FESVER09_010904,20210815,1
FESVER09_010903,20210822,1
FESVER09_010904,20210822,1
FESVER09_010903,20210829,1
FESVER09_010904,20210829,1
FESVER10_011001,20210801,1
FESVER10_011002,20210801,1
FESVER10_011003,20210801,1
FESVER10_011004,20210801,1
FESVER10_011001,20210805,1
FESVER10_011002,20210805,1
FESVER10_011003,20210805,1
FESVER10_011004,20210805,1
FESVER10_011001,20210808,1
FESVER10_011002,20210808,1
FESVER10_011003,20210808,1
FESVER10_011004,20210808,1
FESVER10_011001,20210815,1
FESVER10_011002,20210815,1
FESVER10_011003,20210815,1
FESVER10_011004,20210815,1
FESVER10_011001,20210822,1
FESVER10_011002,20210822,1
FESVER10_011003,20210822,1
FESVER10_011004,20210822,1
FESVER10_011001,20210829,1
FESVER10_011002,20210829,1
FESVER10_011003,20210829,1
FESVER10_011004,20210829,1
FESVER11_011101,20210801,1
FESVER11_011101,20210805,1
FESVER11_011101,20210808,1
FESVER11_011101,20210815,1
FESVER11_011101,20210822,1
FESVER11_011101,20210829,1
FESVER2A_010201,20210801,1
FESVER2A_010202,20210801,1
FESVER2A_010201,20210805,1
FESVER2A_010202,20210805,1
FESVER2A_010201,20210808,1
FESVER2A_010202,20210808,1
FESVER2A_010201,20210815,1
FESVER2A_010202,20210815,1
FESVER2A_010201,20210822,1
FESVER2A_010202,20210822,1
FESVER2A_010201,20210829,1
FESVER2A_010202,20210829,1
FESVER2B_013201,20210801,1
FESVER2B_013202,20210801,1
FESVER2B_013201,20210805,1
FESVER2B_013202,20210805,1
FESVER2B_013201,20210808,1
FESVER2B_013202,20210808,1
FESVER2B_013201,20210815,1
FESVER2B_013202,20210815,1
FESVER2B_013201,20210822,1
FESVER2B_013202,20210822,1
FESVER2B_013201,20210829,1
FESVER2B_013202,20210829,1
FESVER33_013301,20210801,1
FESVER33_013301,20210805,1
FESVER33_013301,20210808,1
FESVER33_013301,20210815,1
FESVER33_013301,20210822,1
FESVER33_013301,20210829,1
GAUSAB_012101,20210814,1
GAUSAB_012204,20210814,1
GAUSAB_012303,20210814,1
GAUSAB_012402,20210814,1
GAUSAB_012405,20210814,1
GAUSAB_012101,20210821,1
GAUSAB_012204,20210821,1
GAUSAB_012303,20210821,1
GAUSAB_012402,20210821,1
GAUSAB_012405,20210821,1
GAUSAB_012101,20210828,1
GAUSAB_012204,20210828,1
GAUSAB_012303,20210828,1
GAUSAB_012402,20210828,1
GAUSAB_012405,20210828,1
LA8VIR03_010301,20210611,1
LA8VIR03_010302,20210611,1
LA8VIR03_103101,20210611,1
LA8VIR03_010301,20210614,1
LA8VIR03_010302,20210614,1
LA8VIR03_103101,20210614,1
LA8VIR03_010301,20210615,1
LA8VIR03_010302,20210615,1
LA8VIR03_103101,20210615,1
LA8VIR03_010301,20210616,1
LA8VIR03_010302,20210616,1
LA8VIR03_103101,20210616,1
LA8VIR03_010301,20210617,1
LA8VIR03_010302,20210617,1
LA8VIR03_103101,20210617,1
LA8VIR03_010301,20210618,1
LA8VIR03_010302,20210618,1
LA8VIR03_103101,20210618,1
LA8VIR03_010301,20210621,1
LA8VIR03_010302,20210621,1
LA8VIR03_103101,20210621,1
LA8VIR03_010301,20210622,1
LA8VIR03_010302,20210622,1
LA8VIR03_103101,20210622,1
LA8VIR03_010301,20210623,1
LA8VIR03_010302,20210623,1
LA8VIR03_103101,20210623,1
LA8VIR03_010301,20210624,1
LA8VIR03_010302,20210624,1
LA8VIR03_103101,20210624,1
LA8VIR03_010301,20210625,1
LA8VIR03_010302,20210625,1
LA8VIR03_103101,20210625,1
LA8VIR03_010301,20210628,1
LA8VIR03_010302,20210628,1
LA8VIR03_103101,20210628,1
LA8VIR03_010301,20210629,1
LA8VIR03_010302,20210629,1
LA8VIR03_103101,20210629,1
LA8VIR03_010301,20210630,1
LA8VIR03_010302,20210630,1
LA8VIR03_103101,20210630,1
LA8VIR03_010301,20210701,1
LA8VIR03_010302,20210701,1
LA8VIR03_103101,20210701,1
LA8VIR03_010301,20210702,1
LA8VIR03_010302,20210702,1
LA8VIR03_103101,20210702,1
LA8VIR03_010301,20210705,1
LA8VIR03_010302,20210705,1
LA8VIR03_103101,20210705,1
LA8VIR03_010301,20210706,1
LA8VIR03_010302,20210706,1
LA8VIR03_103101,20210706,1
LA8VIR03_010301,20210707,1
LA8VIR03_010302,20210707,1
LA8VIR03_103101,20210707,1
LA8VIR03_010301,20210708,1
